,PMID,TITLE,File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),License
278,25536308,Active Negative Pressure Peritoneal Therapy After Abbreviated Laparotomy: The Intraperitoneal Vacuum Randomized Controlled Trial.,oa_package/4b/aa/PMC4463030.tar.gz,Ann Surg. 2015 Jul 19; 262(1):38-46,PMC4463030,7/15/2015 20:07,NO-CC CODE
282,31832083,Is I-FABP not only a marker for the detection abdominal injury but also of hemorrhagic shock in severely injured trauma patients?,oa_package/11/5f/PMC6868704.tar.gz,World J Emerg Surg. 2019 Nov 21; 14:49,PMC6868704,12/14/2019 21:56,CC BY
373,31720157,Mandatory Laparotomy in Penetrating Abdominal Injuries with Omental Evisceration: Experience in a Major Trauma Center in the Philippines.,oa_package/33/7b/PMC6823020.tar.gz,Cureus.; 11(9):e5688,PMC6823020,11/14/2019 19:18,CC BY
381,31569443,Early Identification of Acute Traumatic Coagulopathy Using Clinical Prediction Tools: A Systematic Review.,oa_package/d1/9e/PMC6843652.tar.gz,Medicina (Kaunas). 2019 Sep 28; 55(10):653,PMC6843652,11/25/2019 19:27,CC BY
400,31447524,"Laparotomy for Abdominal Injury Indication & Outcome of patients at a Teaching Hospital in Addis Ababa, Ethiopia.",oa_package/a5/02/PMC6689702.tar.gz,Ethiop J Health Sci. 2019 Jul; 29(4):503-512,PMC6689702,8/27/2019 22:56,NO-CC CODE
402,29766083,Prognostic predictors of early mortality from exsanguination in adult trauma: a Malaysian trauma center experience.,oa_package/3f/31/PMC5877896.tar.gz,Trauma Surg Acute Care Open. 2017 May 31; 2(1):e000070,PMC5877896,5/17/2018 15:57,CC BY-NC
444,26379731,Comparison between operative versus non-operative management of traumatic liver injury.,oa_package/f6/53/PMC4568597.tar.gz,Korean J Hepatobiliary Pancreat Surg. 2015 Aug 28; 19(3):103-108,PMC4568597,9/18/2015 20:38,CC BY-NC
463,24524582,Mortality after road traffic crashes in a system with limited trauma data capability.,oa_package/62/50/PMC3937015.tar.gz,J Trauma Manag Outcomes. 2014 Feb 13; 8:4,PMC3937015,10/9/2014 11:11,CC BY
469,24427383,Grade III Liver Laceration in a Female Volleyball Player.,oa_package/b5/4d/PMC3658378.tar.gz,Sports Health. 2013 Mar; 5(2):150-152,PMC3658378,2/28/2014 19:12,NO-CC CODE
475,29644266,Ureteric transection secondary to penetrating handlebar injury.,oa_package/3c/bc/PMC5887045.tar.gz,Trauma Case Rep. 2017 Jul 31; 10:16-18,PMC5887045,4/13/2018 19:59,CC BY-NC-ND
478,32492639,Intrahepatic pseudoaneurysm following penetrating abdominal injury: Surgical and endovascular management of 2 complicated cases.,oa_package/83/57/PMC7264984.tar.gz,Int J Surg Case Rep. 2020 May 21; 71:250-256,PMC7264984,6/5/2020 20:37,CC BY
486,32391180,How useful are clinical details in blunt trauma referrals for computed tomography of the abdomen?,oa_package/92/89/PMC7203534.tar.gz,SA J Radiol. 2020 Apr 22; 24(1):1837,PMC7203534,5/12/2020 22:56,CC BY
498,32189140,Laparoscopic surgery for two patients with strangulated transomental hernias.,oa_package/88/32/PMC7080934.tar.gz,Surg Case Rep. 2020 Mar 18; 6:53,PMC7080934,3/23/2020 20:56,CC BY
499,31890835,Delayed presentation of a firearm injury in a patient with recent use of phencyclidine: A case report.,oa_package/ff/8f/PMC6928346.tar.gz,Trauma Case Rep. 2019 Dec 18; 25:100272,PMC6928346,1/1/2020 17:56,CC BY-NC-ND
505,30662287,Are serial hematocrit measurements sensitive enough to predict intra-abdominal injuries in blunt abdominal trama?,oa_package/a1/f8/PMC6327898.tar.gz,Open Access Emerg Med. 2019 Jan 7; 11:9-13,PMC6327898,1/22/2019 19:19,CC BY-NC
519,29937636,Utility of Abdominal Computed Tomography in Geriatric Patients on Warfarin with a Fall from Standing.,oa_package/4f/7d/PMC5994848.tar.gz,J Emerg Trauma Shock. 2018 Apr-Jun; 11(2):88-91,PMC5994848,6/26/2018 19:44,CC BY-NC-SA
524,29915855,Diagnostic accuracy of Focused Assessment with Sonography for Trauma for blunt abdominal trauma in the Eastern Region of Saudi Arabia.,oa_package/8a/0d/PMC6058749.tar.gz,Saudi Med J. 2018 Jun; 39(6):598-602,PMC6058749,9/21/2018 11:20,CC BY-NC-SA
530,29854669,Right Main Bronchus Rupture Presenting with Pneumoperitoneum.,oa_package/d6/68/PMC5973221.tar.gz,Korean J Thorac Cardiovasc Surg. 2018 Jun 5; 51(3):216-219,PMC5973221,6/2/2018 22:34,CC BY-NC
534,29273706,Delayed Diagnosis of Ureteral Injury Following Penetrating Abdominal Trauma: A Case Report and Review of the Literature.,oa_package/44/11/PMC5747955.tar.gz,Am J Case Rep. 2017 Dec 23; 18:1377-1381,PMC5747955,1/4/2018 19:07,CC BY-NC-ND
537,28584502,Laparoscopic Splenectomy in Hemodynamically Stable Blunt Trauma.,oa_package/7e/21/PMC5444560.tar.gz,JSLS. 2017 Apr-Jun; 21(2):e2017.00013,PMC5444560,1/18/2018 10:15,CC BY-NC-ND
540,28471974,A case report of blunt gastric perforation treated with endoscopic clip closure.,oa_package/12/68/PMC5419920.tar.gz,Medicine (Baltimore). 2017 May 5; 96(18):e6774,PMC5419920,5/11/2017 20:08,CC BY-SA
543,28079832,Usefulness of low dose chest CT for initial evaluation of blunt chest trauma.,oa_package/40/bb/PMC5266194.tar.gz,Medicine (Baltimore). 2017 Jan 13; 96(2):e5888,PMC5266194,7/17/2019 20:17,CC BY-NC-ND
556,31193627,Motor vehicle collision with seatbelt sign and traumatic abdominal wall hernia should raise suspicion for hollow viscus injury.,oa_package/1f/c4/PMC6538840.tar.gz,Trauma Case Rep. 2019 May 25; 22:100206,PMC6538840,7/13/2019 4:04,CC BY-NC-ND
562,29766104,Correlating abdominal pain and intra-abdominal injury in patients with blunt abdominal trauma.,oa_package/8f/4f/PMC5877917.tar.gz,Trauma Surg Acute Care Open. 2017 Sep 26; 2(1):e000109,PMC5877917,5/17/2018 15:58,CC BY-NC
569,26862543,The Accuracy of Urinalysis in Predicting Intra-Abdominal Injury Following Blunt Traumas.,oa_package/5b/7c/PMC4744607.tar.gz,Emerg (Tehran). 2016 Winter; 4(1):11-15,PMC4744607,2/11/2016 17:45,CC BY-NC
574,26379763,"Elevated white blood cell count, decreased hematocrit and presence of macrohematuria correlate with abdominal organ injury in pediatric blunt trauma patients: a retrospective study.",oa_package/aa/23/PMC4570506.tar.gz,World J Emerg Surg. 2015 Sep 15; 10:41,PMC4570506,9/18/2015 20:35,CC BY
593,26155302,Focused abdominal sonography for trauma in the clinical evaluation of children with blunt abdominal trauma.,oa_package/4b/26/PMC4494156.tar.gz,World J Emerg Surg. 2015 Jul 1; 10:27,PMC4494156,7/10/2015 19:25,CC BY
594,25685344,Abdominal trauma by ostrich.,oa_package/46/87/PMC4323753.tar.gz,Ann Med Surg (Lond). 2015 Jan 23; 4(1):41-43,PMC4323753,3/4/2015 10:31,CC BY-NC-ND
598,25006345,Establishment and implementation of an effective rule for the interpretation of computed tomography scans by emergency physicians in blunt trauma.,oa_package/8b/d5/PMC4085233.tar.gz,World J Emerg Surg. 2014 Jun 27; 9:40,PMC4085233,10/14/2014 11:38,CC BY
600,28744465,Role of Vascular Endothelial Cells in Disseminated Intravascular Coagulation Induced by Seawater Immersion in a Rat Trauma Model.,oa_package/13/b4/PMC5506481.tar.gz,Biomed Res Int. 2017 Jun 28; 2017:5147532,PMC5506481,7/27/2017 19:42,CC BY
621,30680265,"Visceral Injuries in Patients with Blunt and Penetrating Abdominal Trauma Presenting to a Tertiary Care Facility in Karachi, Pakistan.",oa_package/55/d6/PMC6338406.tar.gz,Cureus.; 10(11):e3604,PMC6338406,1/27/2019 21:56,CC BY
622,30627733,Eighteen years' experience of traumatic subclavian vascular injury in a tertiary referral trauma center.,oa_package/6a/aa/PMC6910889.tar.gz,Eur J Trauma Emerg Surg. 2019 Jan 9; 45(6):973-978,PMC6910889,12/26/2019 19:18,CC BY
645,30544375,Risk factor of benign paroxysmal positional vertigo in trauma patients: A retrospective analysis using Korean trauma database.,oa_package/85/5d/PMC6310538.tar.gz,Medicine (Baltimore). 2018 Dec 10; 97(49):e13150,PMC6310538,1/14/2019 19:21,CC BY-NC-ND
654,30130166,Jejunal Perforation From Blunt Abdominal Trauma by an End Zone Pylon in a Division I Football Player.,oa_package/98/d9/PMC6204643.tar.gz,Sports Health. 2018 Aug 21; 10(6):565-566,PMC6204643,8/20/2019 20:18,NO-CC CODE
656,29230341,Pancreatic Laceration in a Pediatric Patient: An Unexpected Diagnosis.,oa_package/6e/7e/PMC5688251.tar.gz,Case Rep Pediatr. 2017 Nov 2; 2017:2681835,PMC5688251,12/13/2017 18:25,CC BY
661,28904701,Laparoscopic evaluation and management of isolated gastric rupture in a boy after blunt abdominal injury.,oa_package/eb/65/PMC5579448.tar.gz,Pan Afr Med J. 2017 Jul 5; 27:173,PMC5579448,9/15/2017 19:34,CC BY
663,28690974,Laparoscopy in Blunt Abdominal Trauma: for Whom? When?and Why?,oa_package/2b/27/PMC5477632.tar.gz,Curr Trauma Rep. 2017 Jan 28; 3(1):43-50,PMC5477632,7/12/2017 7:37,CC BY
666,28649270,Low values of central venous oxygen saturation (ScvO<sub>2</sub>) during surgery and anastomotic leak of abdominal trauma patients.,oa_package/4f/d0/PMC5477291.tar.gz,World J Emerg Surg. 2017 Jun 19; 12:28,PMC5477291,6/27/2017 9:30,CC BY
673,27760561,Acute transfusion-related abdominal injury in trauma patients: a case report.,oa_package/b5/9a/PMC5070412.tar.gz,J Med Case Rep. 2016 Oct 19; 10:294,PMC5070412,10/24/2016 20:07,CC BY
682,31049059,Effects of a Portable Peritoneal Lavage Device on Dogs with Seawater-Immersed Open Abdominal Injury.,oa_package/d9/18/PMC6458859.tar.gz,Gastroenterol Res Pract. 2019 Mar 26; 2019:6132504,PMC6458859,5/3/2019 18:56,CC BY
686,31579389,Perforated Small Intestine: A Case of a Delayed Presentation of an Intra-Abdominal Injury in a Pediatric Patient With a Seatbelt Sign.,oa_package/e8/b7/PMC6757500.tar.gz,Clin Med Insights Pediatr. 2019 Sep 23; 13:1179556519876635,PMC6757500,10/4/2019 20:17,CC BY-NC
688,29945558,Frequency of intra-abdominal organ injury is higher in patients with concomitant stab wounds to other anatomical areas.,oa_package/63/3b/PMC6020471.tar.gz,BMC Emerg Med. 2018 Jun 27; 18:18,PMC6020471,7/6/2018 20:08,CC BY
696,31832085,"Injury patterns and causes of death in 953 patients with penetrating abdominal war wounds in a civilian independent non-governmental organization hospital in Lashkargah, Afghanistan.",oa_package/64/0b/PMC6868865.tar.gz,World J Emerg Surg. 2019 Nov 21; 14:51,PMC6868865,12/14/2019 21:56,CC BY
700,31242883,Patterns and outcomes of patients with abdominal trauma on operative management from northern Tanzania: a prospective single centre observational study.,oa_package/38/f3/PMC6595599.tar.gz,BMC Surg. 2019 Jun 26; 19:69,PMC6595599,8/7/2019 20:18,CC BY
710,25710011,Flail chest in polytraumatized patients: surgical fixation using Stracos reduces ventilator time and hospital stay.,oa_package/61/45/PMC4331314.tar.gz,Biomed Res Int. 2015 Feb 1; 2015:624723,PMC4331314,5/4/2017 12:14,CC BY
713,25400391,Abdominal injury patterns in patients with seatbelt signs requiring laparotomy.,oa_package/70/37/PMC4231266.tar.gz,J Emerg Trauma Shock. 2014 Oct-Dec; 7(4):295-300,PMC4231266,11/18/2014 19:30,CC BY-NC-SA
716,25124882,Abdominal injuries in a low trauma volume hospital--a descriptive study from northern Sweden.,oa_package/27/91/PMC4237946.tar.gz,Scand J Trauma Resusc Emerg Med. 2014 Aug 15; 22:48,PMC4237946,11/20/2014 19:14,CC BY
717,31428187,"Outcome of trauma-related emergency laparotomies, in an era of far-reaching specialization.",oa_package/b0/09/PMC6694503.tar.gz,World J Emerg Surg. 2019 Aug 14; 14:40,PMC6694503,8/21/2019 18:56,CC BY
722,23162671,Immediate thoracotomy for penetrating injuries: ten years' experience at a Dutch level I trauma center.,oa_package/2a/df/PMC3495272.tar.gz,Eur J Trauma Emerg Surg. 2012 Oct 16; 38(5):543-551,PMC3495272,3/28/2013 10:57,NO-CC CODE
723,21092167,Paramedics' and pre-hospital physicians' assessments of anatomic injury in trauma patients: a cohort study.,oa_package/05/b3/PMC3001417.tar.gz,Scand J Trauma Resusc Emerg Med. 2010 Nov 22; 18:60,PMC3001417,12/16/2010 13:53,CC BY
724,25657755,Role of plasma ammonia level in detecting intra-abdominal hemorrhage following blunt abdominal trauma.,oa_package/6f/a5/PMC4310083.tar.gz,J Res Med Sci. 2014 Nov; 19(11):1080-1085,PMC4310083,2/8/2015 3:40,CC BY-NC-SA
731,31988652,Associated abdominal injuries do not influence quality of care in pelvic fractures-a multicenter cohort study from the German Pelvic Registry.,oa_package/f2/af/PMC6969428.tar.gz,World J Emerg Surg. 2020 Jan 17; 15:8,PMC6969428,1/29/2020 19:18,CC BY
737,24396802,Gastric intramural and portal venous gas following blunt abdominal injury.,oa_package/45/9e/PMC3876551.tar.gz,Arch Trauma Res. 2013 Aug 1; 2(2):95-96,PMC3876551,7/7/2015 20:00,CC BY
738,32231845,Heterotopic Ossification following Total Elbow Arthroplasty in a Patient with Parkinson's Disease: Case Report and Literature Review.,oa_package/d4/ed/PMC7085846.tar.gz,Case Rep Surg. 2020 Mar 10; 2020:2068045,PMC7085846,4/2/2020 20:35,CC BY
739,29963537,Pancreatic fistula and mortality after surgical management of pancreatic trauma: analysis of 81 consecutive patients during 11 years at a Korean trauma center.,oa_package/e9/28/PMC6024086.tar.gz,Ann Surg Treat Res. 2018 Jul 26; 95(1):29-36,PMC6024086,7/3/2018 19:53,CC BY-NC
742,20177482,Penetrating abdominal injury and peritonitis: A rare case of birth Injury.,oa_package/0a/4f/PMC2810820.tar.gz,J Indian Assoc Pediatr Surg. 2008 Jan-Mar; 13(1):22-24,PMC2810820,4/3/2013 16:51,CC BY
743,27876077,Post-traumatic acute kidney injury: a cross-sectional study of trauma patients.,oa_package/96/c1/PMC5120453.tar.gz,Scand J Trauma Resusc Emerg Med. 2016 Nov 22; 24:136,PMC5120453,11/28/2016 19:08,CC BY
747,19384622,A treatment protocol for abdomino-pelvic injuries.,oa_package/84/23/PMC2656964.tar.gz,J Orthop Traumatol. 2008 Jun 14; 9(2):89-95,PMC2656964,4/3/2013 14:22,NO-CC CODE
751,25097664,Abdominal injuries in a major Scandinavian trauma center - performance assessment over an 8 year period.,oa_package/2c/7c/PMC4121625.tar.gz,J Trauma Manag Outcomes. 2014 Aug 2; 8:9,PMC4121625,10/9/2014 6:24,CC BY
755,20930984,Fatal dialysis disequilibrium syndrome: A tale of two patients.,oa_package/21/02/PMC2938505.tar.gz,J Emerg Trauma Shock. 2010 Jul-Sep; 3(3):300c,PMC2938505,4/3/2013 19:15,CC BY
758,26430442,Diagnostic accuracy of ultrasonography in detection of blunt abdominal trauma and comparison of early and late ultrasonography 24 hours after trauma.,oa_package/24/36/PMC4590378.tar.gz,Pak J Med Sci. 2015 Jul-Aug; 31(4):980-983,PMC4590378,2/8/2016 10:43,CC BY
759,24463562,Oversized pseudocysts of the spleen: Report of two cases: Optimal management of oversized pseudocysts of the spleen.,oa_package/8f/31/PMC3921642.tar.gz,Int J Surg Case Rep. 2014 Jan 8; 5(2):104-107,PMC3921642,2/12/2014 19:18,CC BY-NC-SA
760,22224146,Blunt abdominal trauma patients are at very low risk for intra-abdominal injury after emergency department observation.,oa_package/71/db/PMC3236146.tar.gz,West J Emerg Med. 2011 Nov; 12(4):496-504,PMC3236146,4/14/2017 16:05,CC BY-NC
763,29443759,"A traumatic hepatic artery pseudoaneurysm and arterioportal fistula, with severe diarrhea as the first symptom: A case report and review of the literature.",oa_package/e7/a5/PMC5839813.tar.gz,Medicine (Baltimore). 2018 Feb 16; 97(7):e9893,PMC5839813,3/13/2018 20:08,CC BY-NC
767,31709301,No need for surgery? Patterns and outcomes of blunt abdominal trauma.,oa_package/91/8b/PMC6817729.tar.gz,Innov Surg Sci. 2019 Oct 14; 4(3):100-107,PMC6817729,11/12/2019 23:56,CC BY
801,31557789,Higher Mortality Rate in Moderate-to-Severe Thoracoabdominal Injury Patients with Admission Hyperglycemia Than Nondiabetic Normoglycemic Patients.,oa_package/b3/f7/PMC6801625.tar.gz,Int J Environ Res Public Health. 2019 Oct 25; 16(19):3562,PMC6801625,10/31/2019 20:21,CC BY
812,30170393,Pelvic fractures in severely injured children: Results from the TraumaRegister DGU.,oa_package/f1/27/PMC6392518.tar.gz,Medicine (Baltimore). 2018 Aug 21; 97(35):e11955,PMC6392518,11/26/2019 9:56,CC BY
817,29441339,Early postoperative small bowel obstruction after laparotomy for trauma: incidence and risk factors.,oa_package/5b/49/PMC5801334.tar.gz,Ann Surg Treat Res. 2018 Feb 30; 94(2):94-101,PMC5801334,2/15/2018 20:35,CC BY-NC
821,26604524,"Frequency, causes and pattern of abdominal trauma: A 4-year descriptive analysis.",oa_package/d2/2e/PMC4626935.tar.gz,J Emerg Trauma Shock. 2015 Oct-Dec; 8(4):193-198,PMC4626935,11/26/2015 13:56,CC BY-NC-SA
828,30374372,[Blunt abdominal trauma causing acute pancreatitis: presentation of the case study].,oa_package/c4/3e/PMC6201622.tar.gz,Pan Afr Med J. 2018 Jun 13; 30:126,PMC6201622,10/31/2018 18:55,CC BY
859,29576017,Diagnostic double strike in the emergency room - two cases of complete pancreatic ruptures due to bicycle handlebar injuries on two consecutive days.,oa_package/4a/ef/PMC5868062.tar.gz,J Med Case Rep. 2018 Mar 26; 12:85,PMC5868062,4/1/2018 4:47,CC BY
880,27646597,Protection Provided by a Gabexate Mesylate Thermo-Sensitive <i>In Situ</i> Gel for Rats with Grade III Pancreatic Trauma.,oa_package/67/1f/PMC5221874.tar.gz,Gut Liver. 2017 Jan 20; 11(1):156-163,PMC5221874,1/13/2017 19:08,CC BY-NC
894,28709443,"Severity of acute gastrointestinal injury grade is a predictor of all-cause mortality in critically ill patients: a multicenter, prospective, observational study.",oa_package/47/1c/PMC5513140.tar.gz,Crit Care. 2017 Jul 14; 21:188,PMC5513140,7/19/2017 20:08,CC BY
897,31775838,Predictive value of transabdominal intestinal sonography in critically ill patients: a prospective observational study.,oa_package/1d/21/PMC6880579.tar.gz,Crit Care. 2019 Nov 27; 23:378,PMC6880579,11/29/2019 19:56,CC BY
904,27258506,Posterior Reversible Encephalopathy Syndrome Complicating Traumatic Pancreatitis: A Pediatric Case Report.,oa_package/35/66/PMC4900714.tar.gz,Medicine (Baltimore). 2016 Jun 3; 95(22):e3758,PMC4900714,6/22/2016 20:08,CC BY-NC-ND
910,28667280,Diagnostic accuracy of contrast enhanced ultrasound in patients with blunt abdominal trauma presenting to the emergency department: a systematic review and meta-analysis.,oa_package/22/9b/PMC5493732.tar.gz,Sci Rep. 2017 Jun 30; 7:4446,PMC5493732,7/5/2017 20:08,CC BY
918,24735590,Screening and management of major bile leak after blunt liver trauma: a retrospective single center study.,oa_package/27/6c/PMC4012546.tar.gz,Scand J Trauma Resusc Emerg Med. 2014 Apr 15; 22:26,PMC4012546,10/13/2014 5:04,CC BY
922,19243621,Bedside diagnostic laparoscopy to diagnose intraabdominal pathology in the intensive care unit.,oa_package/51/fd/PMC2688143.tar.gz,Crit Care. 2009 Feb 25; 13(1):R25,PMC2688143,12/28/2010 0:21,CC BY
934,27375316,Factors Affecting Morbidity in Solid Organ Injuries.,oa_package/09/85/PMC4916281.tar.gz,Dis Markers. 2016 Jun 8; 2016:6954758,PMC4916281,5/31/2017 14:11,CC BY
959,29138662,ST-segment elevation after blunt chest trauma: myocardial contusion with normal coronary arteries or myocardial infarction following coronary lesions.,oa_package/05/8d/PMC5681017.tar.gz,Pan Afr Med J. 2017 Sep 13; 28:26,PMC5681017,11/16/2017 18:50,CC BY
962,28578386,Injectable in situ cross-linking chitosan-hyaluronic acid based hydrogels for abdominal tissue regeneration.,oa_package/c8/8c/PMC5457437.tar.gz,Sci Rep. 2017 Jun 2; 7:2699,PMC5457437,6/6/2017 20:08,CC BY
969,28272208,Early diagnosis of hollow viscus injury using intestinal fatty acid-binding protein in blunt trauma patients.,oa_package/f8/54/PMC5348156.tar.gz,Medicine (Baltimore). 2017 Mar 10; 96(10):e6187,PMC5348156,3/22/2017 20:08,CC BY
990,23680127,Efficacy and safety of active negative pressure peritoneal therapy for reducing the systemic inflammatory response after damage control laparotomy (the Intra-peritoneal Vacuum Trial): study protocol for a randomized controlled trial.,oa_package/60/c0/PMC3662623.tar.gz,Trials. 2013 May 16; 14:141,PMC3662623,10/21/2014 3:32,CC BY
992,19505335,Rapid development of intestinal cell damage following severe trauma: a prospective observational cohort study.,oa_package/e9/05/PMC2717456.tar.gz,Crit Care. 2009 Jun 8; 13(3):R86,PMC2717456,4/14/2014 18:51,CC BY
1029,31336242,A big mesenteric rupture after blunt abdominal trauma: A case report and literature review.,oa_package/c5/da/PMC6656956.tar.gz,Int J Surg Case Rep. 2019 Jul 9; 61:56-59,PMC6656956,9/3/2019 0:10,CC BY
1046,30313123,Blunt traumatic diaphragmatic rupture: Single-center experience with 38 patients.,oa_package/1c/a1/PMC6203559.tar.gz,Medicine (Baltimore). 2018 Oct 12; 97(41):e12849,PMC6203559,11/7/2018 19:18,CC BY-NC-ND
1050,30227894,Significant bleeding from Meckel's diverticulum after blunt abdominal trauma: a case report.,oa_package/c6/15/PMC6145116.tar.gz,J Med Case Rep. 2018 Sep 19; 12:269,PMC6145116,9/24/2018 20:04,CC BY
1059,27798008,Does angiography increase the risk of impairment in renal function during non-operative management of patients with blunt splenic injuries? A cross-sectional study in southern Taiwan.,oa_package/8d/2b/PMC5093687.tar.gz,BMJ Open. 2016 Oct 21; 6(10):e012205,PMC5093687,1/31/2019 21:56,CC BY-NC
1075,25781957,The investigation of posttraumatic pseudoaneurysms in patients treated with nonoperative management for blunt abdominal solid organ injuries.,oa_package/4e/45/PMC4363468.tar.gz,PLoS One. 2015 Mar 17; 10(3):e0121078,PMC4363468,2/21/2019 19:19,CC BY
1076,31830097,Acute and chronic traumatic diaphragmatic hernia: 10 years' experience.,oa_package/89/a2/PMC6907826.tar.gz,PLoS One. 2019 Dec 12; 14(12):e0226364,PMC6907826,12/27/2019 19:18,CC BY
1081,31779610,Low psoas muscle index is a poor prognostic factor for lower gastrointestinal perforation: a single-center retrospective cohort study.,oa_package/f6/ad/PMC6883515.tar.gz,BMC Surg. 2019 Nov 28; 19:181,PMC6883515,12/3/2019 19:33,CC BY
1088,31620563,A Rare Case of Acquired Transthoracic Littre's Hernia.,oa_package/42/0b/PMC6794146.tar.gz,Surg J (N Y). 2019 Oct 15; 5(4):e150-e153,PMC6794146,10/18/2019 20:18,CC BY
1091,31579380,Duodenal Rupture after Blunt Abdominal Trauma by Bicycle Handlebar: Case Report and Literature Review.,oa_package/10/c7/PMC6771178.tar.gz,Niger J Surg. 2019 Jul-Dec; 25(2):213-216,PMC6771178,10/4/2019 18:56,CC BY-NC-SA
1097,31265988,Stomal stenosis during gradual closure of a traumatic abdominal wall hernia.,oa_package/57/55/PMC6609734.tar.gz,Int J Surg Case Rep. 2019 Jun 16; 60:284-286,PMC6609734,10/31/2019 12:56,CC BY
1098,31164170,Aspergillus terreus spondylodiscitis following an abdominal stab wound: a case report.,oa_package/8f/54/PMC6549268.tar.gz,J Med Case Rep. 2019 Jun 5; 13:172,PMC6549268,6/6/2019 20:17,CC BY
1101,27100433,The Diminishing Role of Pelvic Stability Evaluation in the Era of Computed Tomographic Scanning.,oa_package/3f/4f/PMC4845837.tar.gz,Medicine (Baltimore). 2016 Apr 22; 95(16):e3421,PMC4845837,5/16/2016 20:08,CC BY-NC-ND
1112,32280460,A delayed presentation of traumatic right hemidiaphragm injury repaired via a laparoscopic approach: A case report.,oa_package/6a/8f/PMC7139134.tar.gz,Ann Med Surg (Lond). 2020 Mar 25; 53:16-19,PMC7139134,4/14/2020 22:56,CC BY
