KEYWORD A,KEYWORD B,COUNT
abdominal injury,egfr,0
abdominal injury,(est-1),0
abdominal injury,fabps,1
abdominal injury,fabp,2
abdominal injury,fatty acid binding protein,2
abdominal injury,fatty acid binding protein 1,0
abdominal injury,fdp,1
abdominal injury,fibrin degradation products,0
abdominal injury,fibrin/fibrinogen degradation products,0
abdominal injury,fibrinogen,1
abdominal injury,fibtem,0
abdominal injury,full blood cell count,0
abdominal injury,f- protein,0
abdominal injury,fabp1,0
abdominal injury,glucose,0
abdominal injury,glutathione s-transferases (gst),0
abdominal injury,gamma glutamyl transferase,0
abdominal injury,glasgow coma scale,12
abdominal injury,glutamate dehydrogenase,0
abdominal injury,gldh,0
abdominal injury,gstα,0
abdominal injury,gsta,0
abdominal injury,glutathione s-transferase alpha,0
abdominal injury,hemoglobin,11
abdominal injury,hematocrite,0
abdominal injury,hs-crp,0
abdominal injury,hscrp,0
abdominal injury,hyaluronic acid,0
abdominal injury,high mobility group box-1,0
abdominal injury,hmgb1,0
abdominal injury,howell–jolly bodies,0
abdominal injury,human leucocyte antigen,0
abdominal injury,heart rate,5
abdominal injury,helper t cells,0
abdominal injury,(hla)-dr,0
abdominal injury,hppd,0
abdominal injury,i-fabp,2
abdominal injury,il-6,3
abdominal injury,il-8,1
abdominal injury,il-10,0
abdominal injury,il-18,0
abdominal injury,imaging,75
abdominal injury,independent predictors,1
abdominal injury,injury severity score,39
abdominal injury,intestinal-fabp,1
abdominal injury,iss,17
abdominal injury,immunoglobulins,0
abdominal injury,iga,0
abdominal injury,igm,0
abdominal injury,igg,0
abdominal injury,ip-10,0
abdominal injury,jolly bodies,0
abdominal injury,kidney injury molecule-1,0
abdominal injury,(kim-1),0
abdominal injury,k18,0
abdominal injury,lect2,0
abdominal injury,leucocyte cell-derived chemotaxin-2,0
abdominal injury,lymphocytes,1
abdominal injury,laboratory parameters,0
abdominal injury,laboratory tests,4
abdominal injury,lactate,5
abdominal injury,lactate dehydrogenase,3
abdominal injury,(ldh),2
abdominal injury,l-fabp,1
abdominal injury,lipocalin,0
abdominal injury,liver enzyme tests,0
abdominal injury,liver-fabp,1
abdominal injury,lipase,4
abdominal injury,marker,5
abdominal injury,molecular biomarker,0
abdominal injury,molecular markers,0
abdominal injury,myoglobin,1
abdominal injury,myeloperoxidase,0
abdominal injury,malate dehydrogenase,0
abdominal injury,(mcsfr),0
abdominal injury,macrophage colony stimulating factor receptor,0
abdominal injury,(mdh),0
abdominal injury,microrna-122,0
abdominal injury,mir-122,0
abdominal injury,mirnas,0
abdominal injury,mir-216a,0
abdominal injury,mir-216b,0
abdominal injury,mir-217,0
abdominal injury,micrornas,0
abdominal injury,mean arterial bp,0
abdominal injury,(mods),1
abdominal injury,multiple organ dysfunction score,0
abdominal injury,neutrophil gelatinase-associated lipocalin,0
abdominal injury,neutrophils,0
abdominal injury,n-acetyl-β-d-glucosaminidase,0
abdominal injury,nuclear fragments in circulating erythrocytes,0
abdominal injury,ngal,0
abdominal injury,n-gal,0
abdominal injury,niss,3
abdominal injury,(no),0
abdominal injury,nitric oxide,0
abdominal injury,novel markers,1
abdominal injury,n-terminal pro-b-type natriuretic peptide,0
abdominal injury,(nt-probnp),0
abdominal injury,odd ratio,0
abdominal injury,opn,0
abdominal injury,osteopontin,0
abdominal injury,polymorphonuclear elastase,0
abdominal injury,pon1,0
abdominal injury,paraoxonase 1 normalized to prothrombin protein,0
abdominal injury,platelet count,0
abdominal injury,polymorpho-nuclear neutrophil elastase,0
abdominal injury,(pmn),0
abdominal injury,(pao2),0
abdominal injury,platelets,0
abdominal injury,potassium,0
abdominal injury,parameters,13
abdominal injury,paraxonase 1,0
abdominal injury,pon1,0
abdominal injury,purine nucleoside phosphorylase,0
abdominal injury,pnp,0
abdominal injury,pathogenic,0
abdominal injury,pathologic,0
abdominal injury,phosphate,0
abdominal injury,physiologic,3
abdominal injury,platelets and ph-value,0
abdominal injury,point of care,2
abdominal injury,procalcitonin,0
abdominal injury,(pct),0
abdominal injury,prothrombin time,2
abdominal injury,properdin,0
abdominal injury,protein c,0
abdominal injury,(paco2),0
abdominal injury,(paf),1
abdominal injury,platelet-activating factor,0
abdominal injury,plasminogen activator inhibitor,0
abdominal injury,(pai),2
abdominal injury,(pao2),0
abdominal injury,(paco2),0
abdominal injury,platelet-activating factor,0
abdominal injury,(paf),1
abdominal injury,(pai),2
abdominal injury,plasminogen activator inhibitor,0
abdominal injury,pao2,0
abdominal injury,revised trauma score,2
abdominal injury,risk factors,23
abdominal injury,(roc),6
abdominal injury,receiver operating characteristic curves,0
abdominal injury,respiration rate,0
abdominal injury,red cell count,0
abdominal injury,sdh,0
abdominal injury,sorbitol dehydrogenase,0
abdominal injury,sodium,1
abdominal injury,suppressor t-cells,0
abdominal injury,(scr),0
abdominal injury,screening methods,0
abdominal injury,sequential organ failure assessment,0
abdominal injury,sofa,0
abdominal injury,trauma scoring systems,0
abdominal injury,test,21
abdominal injury,testing,3
abdominal injury,(tff3),0
abdominal injury,trefoil factor 3,0
abdominal injury,triss,6
abdominal injury,troponin,0
abdominal injury,temperature,3
abdominal injury,trypsinogen-2,0
abdominal injury,trypsin-2-a1antitrypsin complex,0
abdominal injury,trypsin-2-aat,0
abdominal injury,total and segmented leukocytes,0
abdominal injury,total t lymphocytes,0
abdominal injury,(ttl),0
abdominal injury,tuftsin,0
abdominal injury,the post-traumatic plasma levels of soluble tumor necrosis factor receptors p55 and p75,0
abdominal injury,urea,2
abdominal injury,ultrasound,21
abdominal injury,white blood cell count,1
abdominal injury,(wbc),2
abdominal injury,valproic acid,0
abdominal injury,(vpa),0
abdominal injury,vascular endothelial growth factor,0
abdominal injury,(vegf),1
abdominal injury,venous thromboembolism,0
abdominal injury,(vte),0
abdominal injuries,α-fetoprotein,0
abdominal injuries,4-hydroxy-phenylpyruvate dioxygenase (hpd),0
abdominal injuries,5’ nucleotidase,1
abdominal injuries,alpha-glutathiones-transferase,0
abdominal injuries,alpha fetoprotein,0
abdominal injuries,(afp),1
abdominal injuries,arginase-1,0
abdominal injuries,arginase 1,0
abdominal injuries,(arg1),0
abdominal injuries,argininosuccinate synthetase,0
abdominal injuries,(ass),0
abdominal injuries,abbreviated injury scale,36
abdominal injuries,albumin,4
abdominal injuries,amylase,17
abdominal injuries,alt: alanine aminotransferase,0
abdominal injuries,alp: alkaline phosphatase,0
abdominal injuries,ast: aspartate aminotransferase,0
abdominal injuries,apache ii,4
abdominal injuries,area under the receiver operating characteristic curve,1
abdominal injuries,arterial pressure,8
abdominal injuries,arterial partial pressure of carbon dioxide,0
abdominal injuries,arterial partial pressure of oxygen,0
abdominal injuries,aurocs,0
abdominal injuries,auc,5
abdominal injuries,active t lymphocytes,0
abdominal injuries,(atl),0
abdominal injuries,amylase,17
abdominal injuries,amyloid a,0
abdominal injuries,arterial ph,2
abdominal injuries,bilirubin,6
abdominal injuries,biochemical,5
abdominal injuries,biochemical marker,0
abdominal injuries,biochemical panel,0
abdominal injuries,biomarkers,10
abdominal injuries,biomarker panel,0
abdominal injuries,biochemical parameters,2
abdominal injuries,blood urine nitrogen,0
abdominal injuries,blood pressure,52
abdominal injuries,bun,0
abdominal injuries,bnp,0
abdominal injuries,b lymphocytes,0
abdominal injuries,(cd3),0
abdominal injuries,(cd4),0
abdominal injuries,(cd8),1
abdominal injuries,complete blood counts,0
abdominal injuries,c3 complement,0
abdominal injuries,complement factor b,0
abdominal injuries,computed tomogram,0
abdominal injuries,c5a,0
abdominal injuries,chip,0
abdominal injuries,ck-mb,0
abdominal injuries,clinical factors,5
abdominal injuries,clinical variable,0
abdominal injuries,creatinine,10
abdominal injuries,creatine kinase,0
abdominal injuries,c-reactive protein,4
abdominal injuries,crp,3
abdominal injuries,coagulation tests,0
abdominal injuries,complement,1
abdominal injuries,computed tomography,217
abdominal injuries,computed tomographic scanning,1
abdominal injuries,creatine kinase muscle and brain,0
abdominal injuries,ctni,0
abdominal injuries,ct scan,83
abdominal injuries,cystatin c,0
abdominal injuries,cystatin-c,0
abdominal injuries,cxcl10,0
abdominal injuries,cxcr3,0
abdominal injuries,cadherin-5,0
abdominal injuries,calcium,1
abdominal injuries,caspase cleaved cytokeratin 18,0
abdominal injuries,(cck18),0
abdominal injuries,cdh5,0
abdominal injuries,ceruloplasmin,0
abdominal injuries,clinical parameters,1
abdominal injuries,collagen iv,0
abdominal injuries,cytokeratin 18,0
abdominal injuries,d-dimer,1
abdominal injuries,diagnosis,577
abdominal injuries,diagnostic,497
abdominal injuries,diagnostic modelling,0
abdominal injuries,estimated glomerular filtration rate,1
abdominal injuries,estrogen sulfotransferase,0
abdominal injuries,egfr,1
abdominal injuries,(est-1),0
abdominal injuries,fabps,1
abdominal injuries,fabp,4
abdominal injuries,fatty acid binding protein,3
abdominal injuries,fatty acid binding protein 1,0
abdominal injuries,fdp,1
abdominal injuries,fibrin degradation products,0
abdominal injuries,fibrin/fibrinogen degradation products,0
abdominal injuries,fibrinogen,4
abdominal injuries,fibtem,0
abdominal injuries,full blood cell count,0
abdominal injuries,f- protein,0
abdominal injuries,fabp1,0
abdominal injuries,glucose,6
abdominal injuries,glutathione s-transferases (gst),0
abdominal injuries,gamma glutamyl transferase,0
abdominal injuries,glasgow coma scale,30
abdominal injuries,glutamate dehydrogenase,0
abdominal injuries,gldh,0
abdominal injuries,gstα,0
abdominal injuries,gsta,0
abdominal injuries,glutathione s-transferase alpha,0
abdominal injuries,hemoglobin,24
abdominal injuries,hematocrite,0
abdominal injuries,hs-crp,0
abdominal injuries,hscrp,0
abdominal injuries,hyaluronic acid,1
abdominal injuries,high mobility group box-1,0
abdominal injuries,hmgb1,1
abdominal injuries,howell–jolly bodies,0
abdominal injuries,human leucocyte antigen,0
abdominal injuries,heart rate,17
abdominal injuries,helper t cells,0
abdominal injuries,(hla)-dr,0
abdominal injuries,hppd,0
abdominal injuries,i-fabp,4
abdominal injuries,il-6,7
abdominal injuries,il-8,0
abdominal injuries,il-10,0
abdominal injuries,il-18,0
abdominal injuries,imaging,449
abdominal injuries,independent predictors,6
abdominal injuries,injury severity score,182
abdominal injuries,intestinal-fabp,1
abdominal injuries,iss,69
abdominal injuries,immunoglobulins,1
abdominal injuries,iga,1
abdominal injuries,igm,2
abdominal injuries,igg,1
abdominal injuries,ip-10,0
abdominal injuries,jolly bodies,0
abdominal injuries,kidney injury molecule-1,0
abdominal injuries,(kim-1),0
abdominal injuries,k18,0
abdominal injuries,lect2,0
abdominal injuries,leucocyte cell-derived chemotaxin-2,0
abdominal injuries,lymphocytes,2
abdominal injuries,laboratory parameters,1
abdominal injuries,laboratory tests,8
abdominal injuries,lactate,13
abdominal injuries,lactate dehydrogenase,3
abdominal injuries,(ldh),2
abdominal injuries,l-fabp,1
abdominal injuries,lipocalin,0
abdominal injuries,liver enzyme tests,0
abdominal injuries,liver-fabp,1
abdominal injuries,lipase,7
abdominal injuries,marker,6
abdominal injuries,molecular biomarker,0
abdominal injuries,molecular markers,0
abdominal injuries,myoglobin,2
abdominal injuries,myeloperoxidase,1
abdominal injuries,malate dehydrogenase,0
abdominal injuries,(mcsfr),0
abdominal injuries,macrophage colony stimulating factor receptor,0
abdominal injuries,(mdh),0
abdominal injuries,microrna-122,0
abdominal injuries,mir-122,0
abdominal injuries,mirnas,0
abdominal injuries,mir-216a,0
abdominal injuries,mir-216b,0
abdominal injuries,mir-217,0
abdominal injuries,micrornas,0
abdominal injuries,mean arterial bp,0
abdominal injuries,(mods),4
abdominal injuries,multiple organ dysfunction score,0
abdominal injuries,neutrophil gelatinase-associated lipocalin,0
abdominal injuries,neutrophils,3
abdominal injuries,n-acetyl-β-d-glucosaminidase,0
abdominal injuries,nuclear fragments in circulating erythrocytes,0
abdominal injuries,ngal,0
abdominal injuries,n-gal,0
abdominal injuries,niss,2
abdominal injuries,(no),0
abdominal injuries,nitric oxide,0
abdominal injuries,novel markers,1
abdominal injuries,n-terminal pro-b-type natriuretic peptide,0
abdominal injuries,(nt-probnp),0
abdominal injuries,odd ratio,1
abdominal injuries,opn,0
abdominal injuries,osteopontin,0
abdominal injuries,polymorphonuclear elastase,0
abdominal injuries,pon1,0
abdominal injuries,paraoxonase 1 normalized to prothrombin protein,0
abdominal injuries,platelet count,1
abdominal injuries,polymorpho-nuclear neutrophil elastase,0
abdominal injuries,(pmn),1
abdominal injuries,(pao2),3
abdominal injuries,platelets,3
abdominal injuries,potassium,1
abdominal injuries,parameters,34
abdominal injuries,paraxonase 1,0
abdominal injuries,pon1,0
abdominal injuries,purine nucleoside phosphorylase,0
abdominal injuries,pnp,0
abdominal injuries,pathogenic,1
abdominal injuries,pathologic,10
abdominal injuries,phosphate,1
abdominal injuries,physiologic,17
abdominal injuries,platelets and ph-value,0
abdominal injuries,point of care,16
abdominal injuries,procalcitonin,2
abdominal injuries,(pct),1
abdominal injuries,prothrombin time,4
abdominal injuries,properdin,1
abdominal injuries,protein c,0
abdominal injuries,(paco2),0
abdominal injuries,(paf),0
abdominal injuries,platelet-activating factor,0
abdominal injuries,plasminogen activator inhibitor,0
abdominal injuries,(pai),3
abdominal injuries,(pao2),3
abdominal injuries,(paco2),0
abdominal injuries,platelet-activating factor,0
abdominal injuries,(paf),0
abdominal injuries,(pai),3
abdominal injuries,plasminogen activator inhibitor,0
abdominal injuries,pao2,3
abdominal injuries,revised trauma score,14
abdominal injuries,risk factors,80
abdominal injuries,(roc),15
abdominal injuries,receiver operating characteristic curves,0
abdominal injuries,respiration rate,0
abdominal injuries,red cell count,0
abdominal injuries,sdh,0
abdominal injuries,sorbitol dehydrogenase,0
abdominal injuries,sodium,7
abdominal injuries,suppressor t-cells,0
abdominal injuries,(scr),1
abdominal injuries,screening methods,0
abdominal injuries,sequential organ failure assessment,2
abdominal injuries,sofa,1
abdominal injuries,trauma scoring systems,1
abdominal injuries,test,70
abdominal injuries,testing,11
abdominal injuries,(tff3),0
abdominal injuries,trefoil factor 3,0
abdominal injuries,triss,13
abdominal injuries,troponin,0
abdominal injuries,temperature,12
abdominal injuries,trypsinogen-2,0
abdominal injuries,trypsin-2-a1antitrypsin complex,0
abdominal injuries,trypsin-2-aat,0
abdominal injuries,total and segmented leukocytes,0
abdominal injuries,total t lymphocytes,0
abdominal injuries,(ttl),0
abdominal injuries,tuftsin,0
abdominal injuries,the post-traumatic plasma levels of soluble tumor necrosis factor receptors p55 and p75,0
abdominal injuries,urea,2
abdominal injuries,ultrasound,71
abdominal injuries,white blood cell count,3
abdominal injuries,(wbc),2
abdominal injuries,valproic acid,0
abdominal injuries,(vpa),0
abdominal injuries,vascular endothelial growth factor,0
abdominal injuries,(vegf),0
abdominal injuries,venous thromboembolism,4
abdominal injuries,(vte),1
abdominal trauma,α-fetoprotein,0
abdominal trauma,4-hydroxy-phenylpyruvate dioxygenase (hpd),0
abdominal trauma,5’ nucleotidase,0
abdominal trauma,alpha-glutathiones-transferase,0
abdominal trauma,alpha fetoprotein,0
abdominal trauma,(afp),0
abdominal trauma,arginase-1,0
abdominal trauma,arginase 1,0
abdominal trauma,(arg1),0
abdominal trauma,argininosuccinate synthetase,0
abdominal trauma,(ass),0
abdominal trauma,abbreviated injury scale,11
abdominal trauma,albumin,2
abdominal trauma,amylase,12
abdominal trauma,alt: alanine aminotransferase,0
abdominal trauma,alp: alkaline phosphatase,0
abdominal trauma,ast: aspartate aminotransferase,0
abdominal trauma,apache ii,1
abdominal trauma,area under the receiver operating characteristic curve,0
abdominal trauma,arterial pressure,6
abdominal trauma,arterial partial pressure of carbon dioxide,0
abdominal trauma,arterial partial pressure of oxygen,0
abdominal trauma,aurocs,0
abdominal trauma,auc,3
abdominal trauma,active t lymphocytes,0
abdominal trauma,(atl),0
abdominal trauma,amylase,12
abdominal trauma,amyloid a,0
abdominal trauma,arterial ph,0
abdominal trauma,bilirubin,5
abdominal trauma,biochemical,8
abdominal trauma,biochemical marker,0
abdominal trauma,biochemical panel,0
abdominal trauma,biomarkers,6
abdominal trauma,biomarker panel,0
abdominal trauma,biochemical parameters,2
abdominal trauma,blood urine nitrogen,0
abdominal trauma,blood pressure,29
abdominal trauma,bun,0
abdominal trauma,bnp,0
abdominal trauma,b lymphocytes,1
abdominal trauma,(cd3),0
abdominal trauma,(cd4),0
abdominal trauma,(cd8),1
abdominal trauma,complete blood counts,0
abdominal trauma,c3 complement,0
abdominal trauma,complement factor b,0
abdominal trauma,computed tomogram,1
abdominal trauma,c5a,0
abdominal trauma,chip,0
abdominal trauma,ck-mb,0
abdominal trauma,clinical factors,3
abdominal trauma,clinical variable,0
abdominal trauma,creatinine,5
abdominal trauma,creatine kinase,0
abdominal trauma,c-reactive protein,4
abdominal trauma,crp,2
abdominal trauma,coagulation tests,1
abdominal trauma,complement,1
abdominal trauma,computed tomography,266
abdominal trauma,computed tomographic scanning,1
abdominal trauma,creatine kinase muscle and brain,0
abdominal trauma,ctni,1
abdominal trauma,ct scan,130
abdominal trauma,cystatin c,0
abdominal trauma,cystatin-c,0
abdominal trauma,cxcl10,0
abdominal trauma,cxcr3,0
abdominal trauma,cadherin-5,0
abdominal trauma,calcium,5
abdominal trauma,caspase cleaved cytokeratin 18,0
abdominal trauma,(cck18),0
abdominal trauma,cdh5,0
abdominal trauma,ceruloplasmin,0
abdominal trauma,clinical parameters,2
abdominal trauma,collagen iv,0
abdominal trauma,cytokeratin 18,0
abdominal trauma,d-dimer,0
abdominal trauma,diagnosis,514
abdominal trauma,diagnostic,369
abdominal trauma,diagnostic modelling,0
abdominal trauma,estimated glomerular filtration rate,0
abdominal trauma,estrogen sulfotransferase,0
abdominal trauma,egfr,0
abdominal trauma,(est-1),0
abdominal trauma,fabps,1
abdominal trauma,fabp,3
abdominal trauma,fatty acid binding protein,2
abdominal trauma,fatty acid binding protein 1,0
abdominal trauma,fdp,0
abdominal trauma,fibrin degradation products,0
abdominal trauma,fibrin/fibrinogen degradation products,0
abdominal trauma,fibrinogen,2
abdominal trauma,fibtem,0
abdominal trauma,full blood cell count,0
abdominal trauma,f- protein,0
abdominal trauma,fabp1,0
abdominal trauma,glucose,2
abdominal trauma,glutathione s-transferases (gst),0
abdominal trauma,gamma glutamyl transferase,1
abdominal trauma,glasgow coma scale,21
abdominal trauma,glutamate dehydrogenase,0
abdominal trauma,gldh,0
abdominal trauma,gstα,0
abdominal trauma,gsta,0
abdominal trauma,glutathione s-transferase alpha,0
abdominal trauma,hemoglobin,23
abdominal trauma,hematocrite,0
abdominal trauma,hs-crp,0
abdominal trauma,hscrp,0
abdominal trauma,hyaluronic acid,1
abdominal trauma,high mobility group box-1,0
abdominal trauma,hmgb1,1
abdominal trauma,howell–jolly bodies,1
abdominal trauma,human leucocyte antigen,0
abdominal trauma,heart rate,10
abdominal trauma,helper t cells,0
abdominal trauma,(hla)-dr,0
abdominal trauma,hppd,0
abdominal trauma,i-fabp,3
abdominal trauma,il-6,3
abdominal trauma,il-8,0
abdominal trauma,il-10,0
abdominal trauma,il-18,0
abdominal trauma,imaging,359
abdominal trauma,independent predictors,1
abdominal trauma,injury severity score,96
abdominal trauma,intestinal-fabp,1
abdominal trauma,iss,43
abdominal trauma,immunoglobulins,2
abdominal trauma,iga,2
abdominal trauma,igm,2
abdominal trauma,igg,3
abdominal trauma,ip-10,0
abdominal trauma,jolly bodies,1
abdominal trauma,kidney injury molecule-1,0
abdominal trauma,(kim-1),0
abdominal trauma,k18,0
abdominal trauma,lect2,0
abdominal trauma,leucocyte cell-derived chemotaxin-2,0
abdominal trauma,lymphocytes,2
abdominal trauma,laboratory parameters,2
abdominal trauma,laboratory tests,8
abdominal trauma,lactate,11
abdominal trauma,lactate dehydrogenase,3
abdominal trauma,(ldh),2
abdominal trauma,l-fabp,1
abdominal trauma,lipocalin,0
abdominal trauma,liver enzyme tests,0
abdominal trauma,liver-fabp,1
abdominal trauma,lipase,9
abdominal trauma,marker,6
abdominal trauma,molecular biomarker,0
abdominal trauma,molecular markers,0
abdominal trauma,myoglobin,1
abdominal trauma,myeloperoxidase,0
abdominal trauma,malate dehydrogenase,0
abdominal trauma,(mcsfr),0
abdominal trauma,macrophage colony stimulating factor receptor,0
abdominal trauma,(mdh),0
abdominal trauma,microrna-122,0
abdominal trauma,mir-122,0
abdominal trauma,mirnas,0
abdominal trauma,mir-216a,0
abdominal trauma,mir-216b,0
abdominal trauma,mir-217,0
abdominal trauma,micrornas,0
abdominal trauma,mean arterial bp,0
abdominal trauma,(mods),4
abdominal trauma,multiple organ dysfunction score,0
abdominal trauma,neutrophil gelatinase-associated lipocalin,0
abdominal trauma,neutrophils,3
abdominal trauma,n-acetyl-β-d-glucosaminidase,0
abdominal trauma,nuclear fragments in circulating erythrocytes,0
abdominal trauma,ngal,0
abdominal trauma,n-gal,0
abdominal trauma,niss,2
abdominal trauma,(no),0
abdominal trauma,nitric oxide,1
abdominal trauma,novel markers,1
abdominal trauma,n-terminal pro-b-type natriuretic peptide,0
abdominal trauma,(nt-probnp),0
abdominal trauma,odd ratio,1
abdominal trauma,opn,0
abdominal trauma,osteopontin,0
abdominal trauma,polymorphonuclear elastase,0
abdominal trauma,pon1,0
abdominal trauma,paraoxonase 1 normalized to prothrombin protein,0
abdominal trauma,platelet count,2
abdominal trauma,polymorpho-nuclear neutrophil elastase,0
abdominal trauma,(pmn),1
abdominal trauma,(pao2),0
abdominal trauma,platelets,4
abdominal trauma,potassium,1
abdominal trauma,parameters,25
abdominal trauma,paraxonase 1,0
abdominal trauma,pon1,0
abdominal trauma,purine nucleoside phosphorylase,0
abdominal trauma,pnp,0
abdominal trauma,pathogenic,5
abdominal trauma,pathologic,12
abdominal trauma,phosphate,0
abdominal trauma,physiologic,7
abdominal trauma,platelets and ph-value,0
abdominal trauma,point of care,8
abdominal trauma,procalcitonin,3
abdominal trauma,(pct),2
abdominal trauma,prothrombin time,3
abdominal trauma,properdin,1
abdominal trauma,protein c,0
abdominal trauma,(paco2),0
abdominal trauma,(paf),1
abdominal trauma,platelet-activating factor,0
abdominal trauma,plasminogen activator inhibitor,0
abdominal trauma,(pai),0
abdominal trauma,(pao2),0
abdominal trauma,(paco2),0
abdominal trauma,platelet-activating factor,0
abdominal trauma,(paf),1
abdominal trauma,(pai),0
abdominal trauma,plasminogen activator inhibitor,0
abdominal trauma,pao2,0
abdominal trauma,revised trauma score,11
abdominal trauma,risk factors,53
abdominal trauma,(roc),9
abdominal trauma,receiver operating characteristic curves,0
abdominal trauma,respiration rate,0
abdominal trauma,red cell count,0
abdominal trauma,sdh,0
abdominal trauma,sorbitol dehydrogenase,0
abdominal trauma,sodium,3
abdominal trauma,suppressor t-cells,0
abdominal trauma,(scr),0
abdominal trauma,screening methods,0
abdominal trauma,sequential organ failure assessment,1
abdominal trauma,sofa,0
abdominal trauma,trauma scoring systems,0
abdominal trauma,test,41
abdominal trauma,testing,7
abdominal trauma,(tff3),0
abdominal trauma,trefoil factor 3,0
abdominal trauma,triss,9
abdominal trauma,troponin,2
abdominal trauma,temperature,8
abdominal trauma,trypsinogen-2,0
abdominal trauma,trypsin-2-a1antitrypsin complex,0
abdominal trauma,trypsin-2-aat,0
abdominal trauma,total and segmented leukocytes,0
abdominal trauma,total t lymphocytes,0
abdominal trauma,(ttl),0
abdominal trauma,tuftsin,0
abdominal trauma,the post-traumatic plasma levels of soluble tumor necrosis factor receptors p55 and p75,0
abdominal trauma,urea,2
abdominal trauma,ultrasound,108
abdominal trauma,white blood cell count,3
abdominal trauma,(wbc),1
abdominal trauma,valproic acid,0
abdominal trauma,(vpa),0
abdominal trauma,vascular endothelial growth factor,1
abdominal trauma,(vegf),0
abdominal trauma,venous thromboembolism,1
abdominal trauma,(vte),1
blunt trauma,α-fetoprotein,0
blunt trauma,4-hydroxy-phenylpyruvate dioxygenase (hpd),0
blunt trauma,5’ nucleotidase,0
blunt trauma,alpha-glutathiones-transferase,0
blunt trauma,alpha fetoprotein,0
blunt trauma,(afp),0
blunt trauma,arginase-1,0
blunt trauma,arginase 1,0
blunt trauma,(arg1),0
blunt trauma,argininosuccinate synthetase,0
blunt trauma,(ass),0
blunt trauma,abbreviated injury scale,38
blunt trauma,albumin,5
blunt trauma,amylase,12
blunt trauma,alt: alanine aminotransferase,0
blunt trauma,alp: alkaline phosphatase,0
blunt trauma,ast: aspartate aminotransferase,0
blunt trauma,apache ii,4
blunt trauma,area under the receiver operating characteristic curve,6
blunt trauma,arterial pressure,3
blunt trauma,arterial partial pressure of carbon dioxide,0
blunt trauma,arterial partial pressure of oxygen,0
blunt trauma,aurocs,1
blunt trauma,auc,7
blunt trauma,active t lymphocytes,0
blunt trauma,(atl),0
blunt trauma,amylase,12
blunt trauma,amyloid a,0
blunt trauma,arterial ph,0
blunt trauma,bilirubin,3
blunt trauma,biochemical,8
blunt trauma,biochemical marker,0
blunt trauma,biochemical panel,0
blunt trauma,biomarkers,21
blunt trauma,biomarker panel,0
blunt trauma,biochemical parameters,0
blunt trauma,blood urine nitrogen,0
blunt trauma,blood pressure,72
blunt trauma,bun,0
